tmdb_id,title,release_year,runtime_minutes,genres,vote_average,vote_count,tmdb_url
16061,Tokyo Gore Police,2008,110,Horror|Action|Science Fiction,5.934,343,https://www.themoviedb.org/movie/16061
11718,Who's Harry Crumb?,1989,94,Comedy|Crime|Mystery,5.934,340,https://www.themoviedb.org/movie/11718
10136,The Golden Child,1986,94,Action|Adventure|Comedy,5.9,1131,https://www.themoviedb.org/movie/10136
9406,An American Werewolf in Paris,1997,98,Horror|Comedy|Fantasy,5.934,724,https://www.themoviedb.org/movie/9406
13962,Blank Check,1994,93,Comedy|Family,5.933,514,https://www.themoviedb.org/movie/13962
1001311,Under Paris,2024,104,Action|Horror,5.932,1347,https://www.themoviedb.org/movie/1001311
9825,Lake Placid,1999,82,Horror|Comedy|Action|Science Fiction|Thriller,5.929,1200,https://www.themoviedb.org/movie/9825
736500,Retirement Home,2022,97,Comedy,5.931,306,https://www.themoviedb.org/movie/736500
470114,24 Hours to Live,2017,94,Action|Science Fiction|Thriller|Mystery,5.9,684,https://www.themoviedb.org/movie/470114
458005,Zoe,2018,104,Science Fiction|Romance|Thriller,5.9,428,https://www.themoviedb.org/movie/458005
167032,Curse of Chucky,2013,97,Horror|Thriller,5.931,1655,https://www.themoviedb.org/movie/167032
39386,The Corsican File,2004,92,Comedy,5.931,390,https://www.themoviedb.org/movie/39386
4923,Zardoz,1974,105,Fantasy|Action|Thriller|Science Fiction,5.931,493,https://www.themoviedb.org/movie/4923
829557,365 Days: This Day,2022,111,Romance|Drama,5.93,1783,https://www.themoviedb.org/movie/829557
509730,The Queen's Corgi,2019,85,Family|Animation|Comedy,5.93,438,https://www.themoviedb.org/movie/509730
354251,Southbound,2015,89,Fantasy|Thriller|Horror|Science Fiction,5.93,646,https://www.themoviedb.org/movie/354251
270487,"Hail, Caesar!",2016,106,Comedy|Crime|Drama|Mystery,5.93,3902,https://www.themoviedb.org/movie/270487
68728,Oz the Great and Powerful,2013,130,Fantasy|Adventure|Family,5.93,6671,https://www.themoviedb.org/movie/68728
460648,Bleeding Steel,2017,109,Science Fiction|Action|Adventure|Thriller,5.929,538,https://www.themoviedb.org/movie/460648
14140,Herbie Goes to Monte Carlo,1977,105,Romance|Comedy|Family|Action|Adventure,5.9,337,https://www.themoviedb.org/movie/14140
9073,Free Willy 2: The Adventure Home,1995,95,Family|Adventure|Drama|Comedy,5.929,603,https://www.themoviedb.org/movie/9073
182560,Dark Places,2015,113,Thriller|Mystery|Drama|Crime,5.928,1327,https://www.themoviedb.org/movie/182560
10488,Nim's Island,2008,96,Adventure|Comedy|Family|Fantasy,5.928,1164,https://www.themoviedb.org/movie/10488
9973,Air Buddies,2006,80,Adventure|Comedy|Family,5.928,340,https://www.themoviedb.org/movie/9973
301502,Blonde,2022,167,Drama,5.927,1459,https://www.themoviedb.org/movie/301502
11648,Must Love Dogs,2005,98,Romance|Comedy,5.927,483,https://www.themoviedb.org/movie/11648
1093231,Mother of the Bride,2024,90,Romance|Comedy,5.926,330,https://www.themoviedb.org/movie/1093231
10985,The New Guy,2002,88,Comedy,5.9,626,https://www.themoviedb.org/movie/10985
6073,The Mexican,2001,123,Action|Comedy|Crime|Romance,5.926,1530,https://www.themoviedb.org/movie/6073
2018,The Wedding Planner,2001,103,Comedy|Romance,5.926,1765,https://www.themoviedb.org/movie/2018
664574,Silent Night,2021,92,Comedy|Science Fiction|Horror,5.925,550,https://www.themoviedb.org/movie/664574
503619,The Package,2018,94,Comedy,5.925,1228,https://www.themoviedb.org/movie/503619
87516,Oldboy,2013,104,Drama|Thriller|Mystery|Action,5.926,2049,https://www.themoviedb.org/movie/87516
