name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Inherent Vice,inherent-vice,125830,2014,,1,9,1,0,2025-03-08
Mississippi Burning,mississippi-burning,50909,1988,,0,7,1,0,2025-03-06
The Apprentice,the-apprentice-2024,1068413,2024,,0,7,1,0,2025-03-04
Kill Switch,kill-switch,43078,2008,,0,,1,1,2025-02-28
Hell or High Water,hell-or-high-water,268192,2016,,1,8,1,1,2025-02-27
Licorice Pizza,licorice-pizza,641086,2021,,0,8,1,1,2025-02-26
Seven Psychopaths,seven-psychopaths,73358,2012,,0,6,0,1,2025-02-26
The Apartment,the-apartment,51774,1960,,0,9,1,1,2025-02-24
In the Heat of the Night,in-the-heat-of-the-night,46041,1967,,0,8,1,0,2025-02-23
Mercenary for Justice,mercenary-for-justice,43649,2006,,0,,1,1,2025-02-22
The Kid Detective,the-kid-detective,643649,2020,,0,8,1,1,2025-02-17
Driven to Kill,driven-to-kill,40321,2009,,0,,1,1,2025-02-16
Midnight Cowboy,midnight-cowboy,49856,1969,,0,8,1,1,2025-02-16
Inherent Vice,inherent-vice,125830,2014,,1,9,1,1,2025-02-15
Tenet,tenet,506032,2020,,1,10,1,1,2025-02-14
Mickey 17,mickey-17,620281,2025,,0,5,0,1,2025-02-13
A Knight's Tale,a-knights-tale,47122,2001,,0,7,0,0,2025-02-12
Collateral,collateral,50995,2004,,0,9,1,1,2025-02-12
Baby Assassins,baby-assassins,761585,2021,,0,7,1,1,2025-02-11
Mississippi Masala,mississippi-masala,23264,1991,,0,8,1,0,2025-02-10
True Romance,true-romance,51740,1993,,0,8,1,1,2025-02-09
Blackhat,blackhat,144108,2015,,0,7,1,0,2025-02-07
Miracle Mile,miracle-mile,36556,1988,,0,6,0,1,2025-02-05
Anora,anora,959540,2024,,0,8,1,1,2025-02-03
Hardcore,hardcore,22894,1979,,0,8,1,1,2025-02-02
Limitless,limitless,13972,2011,,0,7,1,1,2025-02-01
Green Room,green-room,241052,2015,,1,8,1,1,2025-01-31
The Verdict,the-verdict-1982,36927,1982,,0,10,1,1,2025-01-30
Goon,goon,61928,2011,,0,6,1,1,2025-01-30
The Social Network,the-social-network,26711,2010,,1,8,1,1,2025-01-29
Conclave,conclave,877253,2024,,0,7,1,1,2025-01-27
The Dark Knight Rises,the-dark-knight-rises,16550,2012,,0,7,1,1,2025-01-27
Five Easy Pieces,five-easy-pieces,35182,1970,,0,9,1,1,2025-01-25
Point Break,point-break,51157,1991,,0,8,1,1,2025-01-24
A Different Man,a-different-man,891291,2024,,0,9,1,1,2025-01-23
Lost Highway,lost-highway,51486,1997,,0,6,0,1,2025-01-20
Spring Breakers,spring-breakers,96109,2012,,0,7,1,1,2025-01-20
