name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Inland Empire,inland-empire,50822,2006,,0,,0,1,2024-02-15
Godzilla Minus One,godzilla-minus-one,845706,2023,,0,,1,1,2024-01-16
Poor Things,poor-things-2023,710352,2023,,0,8,1,1,2023-12-28
Cocaine Bear,cocaine-bear,721333,2023,,0,5,0,1,2023-12-24
Saltburn,saltburn,835774,2023,,0,6,0,1,2023-12-13
Some Like It Hot,some-like-it-hot,51817,1959,,0,8,1,1,2023-12-06
Eastern Promises,eastern-promises,50390,2007,,0,8,1,1,2023-12-03
We're All Going to the World's Fair,were-all-going-to-the-worlds-fair,695522,2021,,0,6,0,1,2023-11-18
The Rules of the Game,the-rules-of-the-game,51376,1939,,0,6,0,1,2023-11-10
Bride of Frankenstein,bride-of-frankenstein,51827,1935,,0,,1,1,2023-11-02
Suspiria,suspiria,44900,1977,,0,9,1,1,2023-10-30
A Nightmare on Elm Street Part 2: Freddy's Revenge,a-nightmare-on-elm-street-part-2-freddys-revenge,46628,1985,,0,6,0,1,2023-10-30
Five Nights at Freddy's,five-nights-at-freddys,436948,2023,,0,5,0,1,2023-10-28
Frankenhooker,frankenhooker,34662,1990,,0,,1,1,2023-10-21
Evil Dead II,evil-dead-ii,51387,1987,,0,8,1,1,2023-10-21
All the Beauty and the Bloodshed,all-the-beauty-and-the-bloodshed,905001,2022,,0,9,1,1,2023-10-19
The Cabinet of Dr. Caligari,the-cabinet-of-dr-caligari-1920,51822,1920,,0,,1,1,2023-10-19
Trainwreck: Woodstock '99,trainwreck-woodstock-99,907303,2022,,0,5,0,1,2023-10-13
Portrait of a Lady on Fire,portrait-of-a-lady-on-fire,460830,2019,,1,10,1,1,2023-09-27
The Squid and the Whale,the-squid-and-the-whale,45971,2005,,0,7,0,1,2023-09-16
The Grand Budapest Hotel,the-grand-budapest-hotel,95113,2014,,1,8,1,1,2023-09-14
In the Mood for Love,in-the-mood-for-love,51309,2000,,0,9,1,1,2023-09-06
Bottoms,bottoms,731222,2023,,0,,1,1,2023-09-05
The Killing of a Sacred Deer,the-killing-of-a-sacred-deer,333310,2017,,0,8,1,1,2023-08-08
Oppenheimer,oppenheimer-2023,784328,2023,,0,6,0,1,2023-07-24
Midnight Cowboy,midnight-cowboy,49856,1969,,0,,1,1,2023-07-18
Wild Zero,wild-zero,41722,1999,,0,8,1,1,2023-07-15
Querelle,querelle,22931,1982,,0,,0,1,2023-07-14
Bodies Bodies Bodies,bodies-bodies-bodies,449442,2022,,0,6,0,1,2023-07-02
Heavenly Creatures,heavenly-creatures,51169,1994,,0,7,1,1,2023-06-30
Asteroid City,asteroid-city,668555,2023,,0,8,1,1,2023-06-25
Picnic at Hanging Rock,picnic-at-hanging-rock,45683,1975,,0,9,1,1,2023-06-24
The Apple,the-apple,16509,1980,,0,2,0,1,2023-06-17
Barbarella,barbarella,47896,1968,,0,6,0,1,2023-06-16
Vampire's Kiss,vampires-kiss,48118,1988,,0,7,1,1,2023-06-11
Spider-Man: Across the Spider-Verse,spider-man-across-the-spider-verse,497631,2023,,0,10,1,1,2023-06-07
The Lighthouse,the-lighthouse-2019,433863,2019,,0,7,1,1,2023-05-31
Blood Simple,blood-simple,45366,1984,,0,8,1,1,2023-05-26
Party Monster,party-monster,51049,2003,,0,6,0,1,2023-04-22
Tekkonkinkreet,tekkonkinkreet,43625,2006,,0,9,1,1,2023-04-09
Saw,saw,51875,2004,,0,,1,1,2023-03-26
God's Own Country,gods-own-country-2017,361719,2017,,0,8,1,1,2023-03-22
"Lyle, Lyle, Crocodile",lyle-lyle-crocodile,746600,2022,,0,2,0,1,2023-03-20
Sunset Boulevard,sunset-boulevard,51522,1950,,0,9,1,1,2023-03-12
The Departed,the-departed,51042,2006,,0,3,0,1,2023-03-07
Aftersun,aftersun,868558,2022,,0,9,1,1,2023-03-07
